Camera Name,site,Date Deployed,Date Removed,active,capture,noncapture,visual,baitlure,baittype,luretype,baitluretype,KS,detection,,,,Days removed
PLP 1-1,PLP 1,11/9/2022,3/26/2023,137,0,137,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
PLP 1-2,PLP 1,11/9/2022,3/26/2023,137,0,137,suet,yes,beaver,supreme,beaver.supreme,yes,no,,,,
PLP 1-3,PLP 1,11/9/2022,3/26/2023,137,0,128,scale,yes,paste,salmon,paste.salmon,no,no,*camera dead (days removed),,,9
PLP 2-1,PLP 2,11/9/2022,3/26/2023,137,0,137,suet,no,absent,absent,absent.absent,yes,no,,,,
PLP 2-2,PLP 2,11/9/2022,3/26/2023,137,0,137,PVC,no,absent,absent,absent.absent,no,no,,,,
PLP 2-3,PLP 2,11/9/2022,3/26/2023,137,0,113,scale,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,24
PLP 3-1,PLP 3,11/18/2022,1/16/2023,59,1,58,suet,yes,beaver,salmon,beaver.salmon,no,yes,,,,
PLP 3-2,PLP 3,11/18/2022,1/16/2023,59,0,59,scale,yes,paste,gusto,paste.gusto,no,no,,,,
PLP 3-3,PLP 3,11/18/2022,1/16/2023,59,0,47,PVC,yes,paste,supreme,paste.supreme,no,no,*camera dead (days removed),,,12
KL 1-1,KL 1,11/12/2022,2/10/2023,90,0,90,scale,yes,paste,supreme,paste.supreme,no,no,,,,
KL 1-2,KL 1,11/12/2022,2/10/2023,90,0,90,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
KL 1-3,KL 1,11/12/2022,2/10/2023,90,1,89,suet,yes,beaver,salmon,beaver.salmon,no,yes,,,,
HK 1-1,HK 1,11/12/2022,1/13/2023,62,2,60,PVC,yes,paste,salmon,paste.salmon,no,yes,,,,
HK 1-2,HK 1,11/12/2022,12/27/2022,45,1,44,scale,yes,paste,gusto,paste.gusto,yes,yes,,,,
HK 1-3,HK 1,11/12/2022,1/13/2023,62,1,61,suet,yes,beaver,supreme,beaver.supreme,no,yes,,,,
TD 1-1,TD 1,11/18/2022,1/16/2023,59,1,58,suet,yes,beaver,gusto,beaver.gusto,no,yes,,,,
TD 1-2,TD 1,11/18/2022,12/23/2022,35,3,32,scale,yes,paste,salmon,paste.salmon,yes,yes,,,,
TD 1-3,TD 1,11/18/2022,1/16/2023,59,2,57,PVC,yes,paste,supreme,paste.supreme,yes,yes,,,,
TD 2-1,TD 2,11/18/2022,3/26/2023,128,0,113,PVC,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,15
TD 2-2,TD 2,11/18/2022,3/26/2023,128,1,106,suet,no,absent,absent,absent.absent,no,yes,*camera dead (days removed),,,22
TD 2-3,TD 2,11/18/2022,3/26/2023,128,0,128,scale,no,absent,absent,absent.absent,yes,no,,,,
MP 1-1,MP 1,11/23/2022,4/10/2023,138,0,138,PVC,yes,paste,salmon,paste.salmon,no,no,,,,
MP 1-2,MP 1,11/23/2022,4/10/2023,138,0,138,suet,yes,beaver,supreme,beaver.supreme,no,no,,,,
MP 1-3,MP 1,11/23/2022,4/10/2023,138,0,138,scale,yes,paste,gusto,paste.gusto,no,no,,,,
MP 2-1,MP 2,11/23/2022,3/5/2023,102,1,101,PVC,no,absent,absent,absent.absent,no,yes,,,,
MP 2-2,MP 2,11/23/2022,3/5/2023,102,0,102,suet,no,absent,absent,absent.absent,yes,no,,,,
MP 2-3,MP 2,11/23/2022,3/5/2023,102,0,102,scale,no,absent,absent,absent.absent,no,no,,,,
CI 1-1,CI 1,11/23/2022,4/10/2023,138,0,138,scale,no,absent,absent,absent.absent,no,no,,,,
CI 1-2,CI 1,11/23/2022,4/10/2023,138,0,138,suet,no,absent,absent,absent.absent,yes,no,,,,
CI 1-3,CI 1,11/23/2022,4/10/2023,138,0,138,PVC,no,absent,absent,absent.absent,no,no,,,,
LR 1-1,LR 1,1/13/2023,4/10/2023,87,0,87,scale,yes,paste,gusto,paste.gusto,no,no,,,,
LR 1-2,LR 1,1/13/2023,4/10/2023,87,0,87,PVC,yes,paste,salmon,paste.salmon,yes,no,,,,
LR 1-3,LR 1,1/13/2023,4/10/2023,87,1,86,suet,yes,beaver,supreme,beaver.supreme,no,yes,,,,
TD 3-1,TD 3,1/16/2023,5/30/2023,134,1,133,suet,yes,beaver,gusto,beaver.gusto,no,yes,,,,
TD 3-2,TD 3,1/16/2023,6/17/2023,152,0,152,scale,yes,paste,salmon,paste.salmon,yes,no,,,,
TD 3-3,TD 3,1/16/2023,6/17/2023,152,0,152,PVC,yes,paste,supreme,paste.supreme,no,no,,,,
KL 2-1,KL 2,2/10/2023,6/17/2023,127,0,127,suet,yes,beaver,salmon,beaver.salmon,no,no,,,,
KL 2-2,KL 2,2/10/2023,6/17/2023,127,1,126,PVC,yes,paste,gusto,paste.gusto,no,yes,,,,
KL 2-3,KL 2,2/10/2023,6/17/2023,127,0,127,scale,yes,paste,supreme,paste.supreme,no,no,,,,
MB 1-1,MB 1,3/5/2023,6/30/2023,117,0,112,scale,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,5
MB 1-2,MB 1,3/5/2023,7/4/2023,121,0,121,suet,no,absent,absent,absent.absent,yes,no,,,,
MB 1-3,MB 1,3/5/2023,7/8/2023,125,0,125,PVC,no,absent,absent,absent.absent,no,no,,,,
TD 4-1,TD 4,3/26/2023,7/16/2023,112,0,112,PVC,no,absent,absent,absent.absent,no,no,,,,
TD 4-2,TD 4,3/26/2023,7/16/2023,112,0,83,scale,no,absent,absent,absent.absent,yes,no,*camera dead (days removed),,,29
TD 4-3,TD 4,3/26/2023,7/16/2023,112,1,111,suet,no,absent,absent,absent.absent,no,yes,,,,
PLP 4-1,PLP 4,3/26/2023,7/30/2023,126,1,125,PVC,no,absent,absent,absent.absent,no,yes,,,,
PLP 4-2,PLP 4,3/26/2023,7/30/2023,126,0,126,suet,no,absent,absent,absent.absent,yes,no,,,,
PLP 4-3,PLP 4,3/26/2023,7/30/2023,126,2,124,scale,no,absent,absent,absent.absent,no,yes,,,,
PLP 5-1,PLP 5,3/26/2023,7/1/2023,97,0,97,suet,yes,beaver,supreme,beaver.supreme,no,no,,,,
PLP 5-2,PLP 5,3/26/2023,7/1/2023,97,1,96,scale,yes,paste,salmon,paste.salmon,yes,yes,,,,
PLP 5-3,PLP 5,3/26/2023,7/1/2023,97,0,97,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
MP 3-1,MP 3,4/10/2023,8/5/2023,117,0,117,scale,yes,paste,gusto,paste.gusto,no,no,,,,
MP 3-2,MP 3,4/10/2023,8/5/2023,117,0,117,suet,yes,beaver,supreme,beaver.supreme,no,no,,,,
MP 3-3,MP 3,4/10/2023,8/5/2023,117,0,117,PVC,yes,paste,salmon,paste.salmon,yes,no,,,,
PLP 6-1,PLP 6,4/10/2023,8/5/2023,117,0,117,suet,no,absent,absent,absent.absent,no,no,,,,
PLP 6-2,PLP 6,4/10/2023,8/5/2023,117,0,117,scale,no,absent,absent,absent.absent,no,no,,,,
PLP 6-3,PLP 6,4/10/2023,8/5/2023,117,0,106,PVC,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,11
CI 2-1,CI 2,4/10/2023,7/16/2023,97,1,96,suet,yes,beaver,salmon,beaver.salmon,no,yes,,,,
CI 2-2,CI 2,4/10/2023,7/16/2023,97,0,66,scale,yes,paste,gusto,paste.gusto,no,no,*camera dead (days removed),,,31
CI 2-3,CI 2,4/10/2023,7/16/2023,97,1,96,PVC,yes,paste,supreme,paste.supreme,no,yes,,,,
LR 2-1,LR 2,4/10/2023,7/16/2023,97,1,96,PVC,yes,paste,salmon,paste.salmon,no,yes,,,,
LR 2-2,LR 2,4/10/2023,7/16/2023,97,0,97,suet,yes,beaver,supreme,beaver.supreme,no,no,,,,
LR 2-3,LR 2,4/10/2023,7/16/2023,97,0,97,scale,yes,paste,gusto,paste.gusto,no,no,,,,
PLP 7-1,PLP 7,7/1/2023,10/27/2023,118,0,104,suet,yes,beaver,salmon,beaver.salmon,no,no,*camera dead 9/16-9/29 (days removed),,,14
PLP 7-2,PLP 7,7/1/2023,10/27/2023,118,0,118,scale,yes,paste,supreme,paste.supreme,no,no,,,,
PLP 7-3,PLP 7,7/1/2023,10/27/2023,118,0,118,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
TD 5-1,TD 5,7/1/2023,10/27/2023,118,1,117,suet,yes,beaver,supreme,beaver.supreme,no,yes,,,,
TD 5-2,TD 5,7/1/2023,10/27/2023,118,0,118,scale,yes,paste,salmon,paste.salmon,yes,no,,,,
TD 5-3,TD 5,7/1/2023,10/27/2023,118,0,118,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
BR 1-1,BR 1,7/1/2023,8/26/2023,56,1,55,suet,yes,beaver,gusto,beaver.gusto,no,yes,,,,
BR 1-2,BR 1,7/1/2023,8/9/2023,39,0,39,scale,yes,paste,salmon,paste.salmon,yes,no,*camera died on 8/9,,,
BR 1-3,BR 1,7/1/2023,8/26/2023,56,5,51,PVC,yes,paste,supreme,paste.supreme,no,yes,,,,
MB 2-1,MB 2,7/8/2023,10/27/2023,111,0,107,PVC,no,absent,absent,absent.absent,yes,no,*camera dead 9/26-9/29 (days removed),,,4
MB 2-2,MB 2,7/8/2023,10/27/2023,111,0,98,suet,no,absent,absent,absent.absent,no,no,*camera dead 9/17-9/29 (days removed),,,13
MB 2-3,MB 2,7/8/2023,10/27/2023,111,0,111,scale,no,absent,absent,absent.absent,no,no,,,,
LR 3-1,LR 3,7/16/2023,8/26/2023,41,1,40,PVC,no,absent,absent,absent.absent,yes,yes,,,,
LR 3-2,LR 3,7/16/2023,8/26/2023,41,0,41,scale,no,absent,absent,absent.absent,no,no,,,,
LR 3-3,LR 3,7/16/2023,8/26/2023,41,0,41,suet,no,absent,absent,absent.absent,no,no,,,,
TD 6-1,TD 6,7/16/2023,8/26/2023,41,0,41,PVC,no,absent,absent,absent.absent,no,no,,,,
TD 6-2,TD 6,7/16/2023,8/26/2023,41,2,39,scale,no,absent,absent,absent.absent,no,yes,,,,
TD 6-3,TD 6,7/16/2023,8/26/2023,41,0,41,suet,no,absent,absent,absent.absent,yes,no,,,,
TD 7-1,TD 7,9/1/2023,10/27/2023,56,1,55,PVC,no,absent,absent,absent.absent,no,yes,,,,
TD 7-2,TD 7,9/1/2023,10/27/2023,56,0,49,suet,no,absent,absent,absent.absent,yes,no,*camera dead 9/23-9/29 (days removed),,,7
TD 7-3,TD 7,9/1/2023,10/27/2023,56,0,56,scale,no,absent,absent,absent.absent,no,no,,,,
SH 1-1,SH 1,7/16/2023,11/26/2023,126,0,126,suet,yes,beaver,supreme,beaver.supreme,yes,no,,,,
SH 1-2,SH 1,7/16/2023,11/26/2023,126,1,122,scale,yes,paste,gusto,paste.gusto,no,yes,*camera dead 10/25-10/27 (days removed),,,4
SH 1-3,SH 1,7/16/2023,11/26/2023,126,1,125,PVC,yes,paste,salmon,paste.salmon,no,yes,,,,
PLP 8-1,PLP 8,8/5/2023,11/26/2023,113,0,113,suet,no,absent,absent,absent.absent,no,no,,,,
PLP 8-2,PLP 8,8/5/2023,11/26/2023,113,0,105,PVC,no,absent,absent,absent.absent,yes,no,*camera dead 9/2-9/9 (days removed),,,8
PLP 8-3,PLP 8,8/5/2023,11/26/2023,113,0,99,scale,no,absent,absent,absent.absent,no,no,*camera dead 8/26-9/8 (days removed),,,14
KR 1-1,KR 1,8/5/2023,11/26/2023,113,0,105,PVC,yes,paste,salmon,paste.salmon,no,no,*camera dead 9/22-9/29 (days removed),,,8
KR 1-2,KR 1,8/5/2023,11/26/2023,113,0,113,scale,yes,paste,gusto,paste.gusto,no,no,,,,
KR 1-3,KR 1,8/5/2023,11/26/2023,113,0,97,suet,yes,beaver,supreme,beaver.supreme,yes,no,*camera dead 10/12-10/27 (days removed),,,16
PLP 9-1,PLP 9,8/5/2023,11/26/2023,113,0,113,suet,yes,beaver,gusto,beaver.gusto,no,no,,,,
PLP 9-2,PLP 9,8/5/2023,11/26/2023,113,0,113,PVC,yes,paste,supreme,paste.supreme,no,no,,,,
PLP 9-3,PLP 9,8/5/2023,11/26/2023,113,0,113,scale,yes,paste,salmon,paste.salmon,no,no,,,,
BR 2-1,BR 2,8/26/2023,11/26/2023,92,4,88,PVC,yes,paste,supreme,paste.supreme,no,yes,,,,
BR 2-2,BR 2,8/26/2023,11/26/2023,92,7,85,suet,yes,beaver,salmon,beaver.salmon,no,yes,,,,
BR 2-3,BR 2,8/26/2023,11/26/2023,92,2,90,scale,yes,paste,gusto,paste.gusto,no,yes,*camera dead 10/13-10/27 (days removed),,,2
BR 3-1,BR 3,8/26/2023,11/26/2023,92,12,80,PVC,yes,beaver,salmon,beaver.salmon,no,yes,,,,
BR 3-2,BR 3,8/26/2023,11/26/2023,92,5,87,scale,yes,paste,supreme,paste.supreme,no,yes,,,,
BR 3-3,BR 3,8/26/2023,11/26/2023,92,1,91,suet,yes,beaver,gusto,beaver.gusto,yes,yes,,,,
BR 4-1,BR 4,9/22/2023,11/26/2023,65,2,63,PVC,yes,paste,salmon,paste.salmon,no,yes,,,,
BR 4-2,BR 4,9/22/2023,11/26/2023,65,0,65,scale,yes,paste,gusto,paste.gusto,no,no,,,,
BR 4-3,BR 4,9/22/2023,11/26/2023,65,1,64,suet,yes,beaver,supreme,beaver.supreme,no,yes,,,,
WB 1-1,WB 1,8/26/2023,12/17/2023,113,0,113,suet,yes,beaver,gusto,beaver.gusto,no,no,,,,
WB 1-2,WB 1,8/26/2023,12/17/2023,113,0,49,scale,yes,paste,salmon,paste.salmon,no,no,*SD card full 9/5-9/8; batteries dead 9/16-9/29; 10/6-10/27; 11/4-11/30; 12/16-12/17 (days removed),,,64
WB 1-3,WB 1,8/26/2023,12/17/2023,113,0,113,PVC,yes,paste,supreme,paste.supreme,yes,no,,,,
BR 5-1,BR 5,11/26/2023,1/12/2024,47,0,47,scale,yes,paste,gusto,paste.gusto,no,no,,,,
BR 5-2,BR 5,11/26/2023,1/12/2024,47,0,47,PVC,yes,paste,supreme,paste.supreme,no,no,,,,
BR 5-3,BR 5,11/26/2023,1/12/2024,47,2,45,suet,yes,beaver,salmon,beaver.salmon,no,yes,,,,
KR 2-1,KR 2,11/26/2023,2/29/2024,95,0,95,suet,yes,beaver,gusto,beaver.gusto,no,no,,,,
KR 2-2,KR 2,11/26/2023,2/29/2024,95,0,95,scale,yes,paste,supreme,paste.supreme,no,no,,,,
KR 2-3,KR 2,11/26/2023,2/29/2024,95,0,95,PVC,yes,paste,salmon,paste.salmon,no,no,,,,
PLP 10-1,PLP 10,11/26/2023,2/29/2024,95,0,95,PVC,yes,paste,supreme,paste.supreme,yes,no,,,,
PLP 10-2,PLP 10,11/26/2023,2/29/2024,95,0,95,scale,yes,paste,salmon,paste.salmon,no,no,,,,
PLP 10-3,PLP 10,11/26/2023,2/29/2024,95,0,95,suet,yes,beaver,gusto,beaver.gusto,no,no,,,,
PLP 11-1,PLP 11,11/26/2023,2/29/2024,95,0,95,suet,no,absent,absent,absent.absent,yes,no,,,,
PLP 11-2,PLP 11,11/26/2023,2/29/2024,95,0,95,PVC,no,absent,absent,absent.absent,no,no,,,,
PLP 11-3,PLP 11,11/26/2023,2/29/2024,95,0,95,scale,no,absent,absent,absent.absent,no,no,,,,
SH 2-1,SH 2,11/30/2023,2/2/2024,64,0,64,scale,yes,beaver,salmon,beaver.salmon,no,no,,,,
SH 2-2,SH 2,11/30/2023,2/2/2024,64,1,63,suet,yes,beaver,gusto,beaver.gusto,no,yes,,,,
SH 2-3,SH 2,11/30/2023,2/2/2024,64,0,64,PVC,yes,paste,supreme,paste.supreme,no,no,,,,
SH 3-1,SH 3,11/30/2023,2/29/2024,91,0,91,scale,yes,beaver,gusto,beaver.gusto,no,no,,,,
SH 3-2,SH 3,11/30/2023,2/29/2024,91,0,91,suet,yes,beaver,salmon,beaver.salmon,no,no,,,,
SH 3-3,SH 3,11/30/2023,2/29/2024,91,0,91,PVC,yes,paste,supreme,paste.supreme,no,no,,,,
